RA,Dec
2.40833,-34.72375
2.43667,-42.02167
2.46125,-43.28153
2.46417,8.45486
2.47,-35.27972
2.47083,37.31833
2.48583,13.68625
2.5025,49.11528
2.51167,11.14583
2.51917,-11.88181
2.53875,-59.35556
2.5425,-4.70694
2.54792,64.64375
2.56875,-15.5375
2.58542,-6.28417
2.61667,-76.05569
2.63042,10.97569
2.67292,-31.69111
2.675,-20.65458
2.70708,-8.28819
2.71375,-34.22486
2.7175,29.15972
2.82708,-28.85736
2.83479,-32.7054
2.83833,37.65542
2.84042,30.44944
2.84167,-21.24236
2.8525,-11.47861
2.87958,-44.69153
2.92917,-15.38667
2.93542,32.41153
2.93875,52.52986
2.96625,32.4675
2.96958,-32.63556
2.97,22.98722
3.00708,29.0568
3.03417,-15.84208
3.055,9.48861
3.06792,-5.72653
3.07917,10.10056
3.1225,14.56625
3.145,-4.27583
3.145,-16.46931
3.15875,2.21208
3.20292,-8.78472
3.21542,-18.83681
3.24208,-79.87055
3.26,-32.64417
3.28708,-0.43014
3.29,5.59722
3.32917,-5.37653
3.34458,-17.01486
3.36333,-31.39361
3.36833,9.82833
3.38542,40.85889
3.39208,-34.72167
3.40458,-19.50056
3.40667,77.03625
3.4275,8.19236
3.4775,-74.68958
3.48583,-18.90222
3.4875,-46.38139
3.49042,35.04264
3.49542,-23.63958
3.49625,-22.39444
3.53875,8.97292
3.54125,30.82458
3.54208,-7.2
3.54917,-50.37875
3.57833,-66.07403
3.57958,-30.37111
3.58417,26.27514
3.58542,8.90319
3.58958,-24.74861
3.61875,13.51917
3.67,6.37528
3.67583,58.03375
3.70583,-20.40653
3.71958,27.09694
3.72333,-60.06653
3.7275,-15.87083
3.75083,33.25417
3.75083,-40.60472
3.76458,-72.84084
3.80042,-14.20556
3.84125,-15.16875
3.85,-15.22958
3.86792,35.61153
3.87,-64.25027
3.87333,-39.21667
3.87583,17.33583
3.88208,46.30667
3.89958,48.02139
3.91583,-52.26722
3.92208,55.86153
3.96875,-25.16306
3.97792,-17.47861
3.98542,5.62333
3.98958,-16.61639
4.045,-14.59125
4.05292,-79.85014
4.05833,19.86167
4.075,-44.77958
4.085,-14.50236
4.11333,-6.43208
4.12792,5.77403
4.13833,-5.70764
4.17708,-31.44958
4.18958,6.78444
4.21083,-7.17028
4.24875,11.62361
4.2675,-4.79194
4.27375,40.94569
4.2925,81.58542
4.29625,29.53319
4.30667,2.61722
4.31125,-30.02542
4.31792,-70.53514
4.3475,-66.75195
4.36167,-71.84167
4.3675,79.79639
4.40042,-5.215
4.41167,-35.20847
4.4125,1.67875
4.41292,12.045
4.43875,-1.04861
4.44083,1.60389
4.44083,-45.43403
4.45,-67.14709
4.53167,-20.22653
4.53208,10.91472
4.58833,30.95639
4.58917,-33.73931
4.59042,1.31639
4.59042,-21.2
4.59083,44.02486
4.59917,30.06597
4.60625,23.40903
4.60917,-63.47709
4.61583,29.79167
4.63333,16.44292
4.64125,-6.47778
4.66083,4.85194
4.73833,-7.72944
4.74875,-40.85792
4.74917,6.32708
4.775,-20.44389
4.81417,7.80458
4.83208,59.13972
4.86708,-81.87986
4.89417,-40.42305
4.90083,-7.22375
4.90417,26.05458
4.90833,3.61278
4.92667,19.85722
4.95833,21.94764
4.96708,-27.74208
4.98,-6.63792
5.00458,27.99694
5.03,32.73986
5.045,1.55069
5.05,-34.27514
5.05667,34.91514
5.08625,10.58083
5.13042,40.22306
5.13417,2.48306
5.16458,28.6743
5.16875,-69.62681
5.17417,-25.71861
5.19667,57.1975
5.20208,-25.63986
5.21833,55.70361
5.25375,-24.84639
5.28375,-19.16389
5.28583,37.96695
5.28792,44.94875
5.31833,50.88764
5.33625,-20.84097
5.34667,33.71
5.36583,-11.01625
5.37542,-28.98153
5.3875,-34.17
5.40333,28.05153
5.40542,-46.09069
5.4475,0.01014
5.46042,64.81403
5.47375,-40.42528
5.49167,49.21264
5.49667,-51.67458
5.50375,0.11639
5.50833,-39.50958
5.51542,-10.27444
5.53833,-18.8925
5.54917,41.01431
5.54958,-13.81972
5.57,-9.72764
5.64083,-34.12292
5.69208,-38.10972
5.69458,-9.22569
5.70125,-32.13667
5.70708,80.73583
5.7175,-12.20917
5.74292,61.68653
5.75583,-33.12208
5.79167,32.49375
5.79833,-19.76569
5.81708,-14.38361
5.86,28.34945
5.8675,-20.6975
5.875,15.7925
5.87708,-72.34514
5.885,-1.24375
5.89542,20.23847
5.90458,4.70556
5.915,-17.89778
5.9725,-2.86458
5.975,60.96208
5.98292,-18.04833
6.015,-17.07042
6.01917,-72.08236
6.03417,-68.34875
6.065,60.58181
6.11542,5.71306
6.12125,-29.29292
6.12708,-29.48236
6.1375,33.21028
6.14042,-20.68667
6.14333,-17.17653
6.1475,30.03903
6.18875,8.34639
6.20958,13.94264
6.22083,6.94778
6.26125,-45.49472
6.26792,-36.77306
6.28583,68.80361
6.28625,-4.58236
6.28833,64.16278
6.295,12.29028
6.31792,-20.85695
6.3675,-18.805
6.37375,-28.575
6.37417,-12.37972
6.38583,4.89764
6.39542,-33.04861
6.4275,-19.00264
6.45333,45.02667
6.4675,-9.96569
6.47292,8.62347
6.5225,-18.9157
6.52833,-15.70486
6.6125,-51.63375
6.62583,-8.70639
6.63083,-18.66736
6.63375,-34.42417
6.65125,-46.01708
6.6675,-53.16236
6.70042,-68.43903
6.71333,-1.98681
6.78583,-7.87722
6.78958,-19.43778
