_2RXS,RAJ2000,DEJ2000,SrcFlux,ALLWISE,W1mag,W2mag,W3mag,W4mag,SepW-2RXS,MatchFlag,_1RXS,_2MASS,Jmag,Hmag,Kmag,Gaia,pmRA,pmDE,__Gmag_
b'2RXS J144351.3+474302',220.96378,47.71738,2.8864e-12,b'J144351.24+474301.7',7.532,7.586,7.58,7.49,1.0865998,1,b'J144351.3+474303',257997340.0,7.938,7.616,7.899,1591057646822107904,15.291,-111.305,8
b'2RXS J122804.2+444737',187.01776,44.79365,1.5117e-12,b'J122804.26+444739.3',6.053,6.012,6.146,6.113,2.1708217,1,b'J122804.2+444736',614031631.0,6.404,6.176,6.117,1541667928099786752,-181.811,-4.486,7
b'2RXS J093255.6+433205',143.23202,43.53478,1.1835e-12,b'J093255.94+433205.6',9.177,9.196,9.086,8.183,2.8786626,1,b'J093255.6+433205',239732370.0,9.932,9.41,9.255,814930496357360000,198.739,-62.853,11
b'2RXS J091900.7+461059',139.75312,46.18311,1.2242e-12,b'J091900.73+461055.3',7.781,7.721,7.633,7.48,3.864831,1,b'J091901.0+461059',234938969.0,8.757,8.099,7.865,819071050989217792,-152.339,-19.815,11
b'2RXS J081717.8+455559',124.32458,45.93331,1.3979e-12,b'J081717.83+455600.9',9.141,9.124,9.009,8.694,1.254526,1,b'J081716.9+455607',813213075.0,9.902,9.387,9.221,928834059839222784,-2.813,-166.591,11
b'2RXS J185447.1+485132',283.69635,48.85896,2.7258e-12,b'J185447.07+485132.5',4.69,4.393,4.7,4.635,0.5331529,1,b'J185447.1+485133',321339562.0,4.909,4.723,4.666,2131831515863100160,-49.377,-133.951,5
b'2RXS J064347.0+500843',100.94613,50.14538,8.8056e-13,b'J064346.70+500841.5',6.294,6.286,6.311,6.174,3.9754739,1,b'',480361804.0,6.871,6.457,6.37,991285048986974720,-25.142,-111.863,8
b'2RXS J184249.7+575157',280.70731,57.86595,4.6923e-12,b'J184249.63+575154.4',6.414,6.282,6.252,6.31,3.1092234,1,b'J184249.8+575157',1054630462.0,6.705,6.462,6.379,2154120403264656384,125.291,14.422,7
b'2RXS J175554.9+560206',268.9791,56.03507,3.168e-12,b'J175555.39+560208.3',6.873,6.835,6.833,6.81,4.032906,1,b'J175555.2+560205',686441171.0,7.349,7.004,6.901,1418299493647914496,36.813,123.007,8
b'2RXS J174251.2+584105',265.71347,58.68485,1.5226e-12,b'J174251.78+584105.3',6.429,6.404,6.423,6.34,4.3149996,1,b'J174251.1+584105',620592170.0,6.917,6.554,6.475,1422556630872324608,68.951,-112.398,8
b'2RXS J132545.6+565813',201.44032,56.97048,2.4007e-12,b'J132545.26+565814.0',5.374,5.256,5.423,5.351,3.4132228,1,b'J132545.5+565815',615169974.0,5.812,5.481,5.411,1565867457472631808,-217.48,11.261,7
b'2RXS J124144.8+554328',190.43669,55.72449,9.8692e-13,b'J124144.69+554328.8',5.913,5.865,5.969,5.841,1.1513926,1,b'J124144.8+554327',543687531.0,6.569,6.113,6.003,1571411229462195712,122.791,-5.021,7
b'2RXS J103142.7+570659',157.92818,57.11648,3.6019e-13,b'J103143.13+570658.9',6.144,5.995,6.079,5.984,3.068179,1,b'J103143.0+570659',1020188576.0,6.978,6.356,6.174,854769857080593152,-67.123,172.666,8
b'2RXS J091912.0+582405',139.80011,58.40161,4.3886e-13,b'J091911.73+582408.9',7.306,7.376,7.381,7.19,3.873899,1,b'J091912.1+582404',562089535.0,7.712,7.481,7.399,1038148055628992512,-162.743,-130.173,8
b'2RXS J201134.7+620441',302.89494,62.07833,6.4343e-12,b'J201135.08+620443.5',4.418,4.019,4.486,4.427,2.5813308,1,b'J201134.7+620442',695880808.0,5.009,4.678,4.465,2243923255981251584,127.566,76.501,5
b'2RXS J185713.2+640623',284.30504,64.10639,2.2841e-12,b'J185713.37+640621.6',6.85,6.886,6.863,6.827,1.70453,1,b'J185713.2+640623',688886635.0,7.565,7.075,6.963,2253522507887844352,110.402,12.169,9
b'2RXS J143900.3+641730',219.75154,64.29194,1.341e-11,b'J143859.99+641729.9',5.919,5.807,5.87,5.798,2.6646507,1,b'J143859.9+641731',615664754.0,6.315,6.012,5.914,1668690623807090688,-137.095,-26.941,7
b'2RXS J110322.0+613916',165.84196,61.65445,1.0406e-12,b'J110321.69+613914.7',5.789,5.707,5.812,5.697,2.9874327,1,b'J110322.3+613917',544143434.0,6.11,5.886,5.819,861857240313999232,-116.771,-66.704,6
b'2RXS J183925.7+690306',279.85716,69.05191,2.7972e-12,b'J183925.70+690305.7',7.483,7.474,7.373,7.253,1.1545727,1,b'J183925.6+690307',678106825.0,8.533,7.881,7.676,2259246427983112192,-0.682,202.33,10
b'2RXS J173955.7+650007',264.98218,65.002,1.0455e-12,b'J173955.66+650007.0',6.183,6.131,6.185,6.149,0.3910221,1,b'J173955.8+650007',663510944.0,6.767,6.302,6.19,1440964620185061376,-21.714,106.786,8
b'2RXS J091255.4+692155',138.23102,69.36545,2.2634e-12,b'J091254.97+692151.8',8.337,8.353,8.278,8.65,4.520973,1,b'J091255.9+692155',663122895.0,9.119,8.531,8.418,1117595948353060992,20.244,-108.423,10
b'2RXS J192636.1+784005',291.65046,78.66826,5.9408e-12,b'J192635.36+784007.6',7.651,7.7,7.641,7.59,2.9066012,1,b'J192636.0+784005',693915799.0,8.384,7.92,7.813,2294604591628552960,42.389,136.192,9
b'2RXS J180004.1+800002',270.01741,80.00057,2.6e-12,b'J180003.81+800004.7',4.585,4.38,4.781,4.609,2.8178308,1,b'J180004.5+800000',717301490.0,5.069,4.893,4.807,2294405717462880000,47.965,132.1,5
b'2RXS J044601.5+763641',71.50647,76.61161,3.0784e-11,b'J044600.78+763638.4',5.287,5.116,5.263,4.984,4.314033,1,b'J044601.3+763641',566634696.0,5.535,5.332,5.284,551998714532433920,75.594,-135.35,6
b'2RXS J015604.7+805432',29.01959,80.90894,3.3411e-11,b'J015603.44+805429.7',4.124,3.921,4.063,3.987,3.8343935,1,b'J015604.5+805432',1166806831.0,4.998,4.42,4.166,562938786507488256,110.992,-79.725,6
b'2RXS J124402.6+852654',191.01099,85.44834,4.0205e-12,b'J124400.86+852657.0',7.203,7.267,7.255,7.299,3.6712823,1,b'J124402.9+852653',583726039.0,7.647,7.356,7.3,1726890145086452992,-128.721,41.276,8
b'2RXS J074953.7+862150',117.47393,86.36398,4.2139e-12,b'J074952.74+862153.6',6.457,6.406,6.446,6.421,3.4491765,1,b'J074954.2+862151',578503188.0,6.781,6.561,6.481,1151854291133153280,-68.476,-136.337,7
b'2RXS J064120.0+821603',100.33353,82.26755,1.1231e-11,b'J064119.25+821600.8',7.278,7.34,7.289,7.162,2.820032,1,b'J064120.3+821603',1163114513.0,7.872,7.506,7.376,1143477008961911552,43.472,-151.207,9
b'2RXS J202701.1-174732',306.75474,-17.79236,5.4504e-13,b'J202701.37-174729.7',6.928,6.949,6.947,6.904,4.3693495,1,b'',1274457541.0,7.545,7.117,7.005,6861110474679790592,16.885,-106.588,8
b'2RXS J220417.7+023620',331.07389,2.60566,3.211e-12,b'J220417.70+023621.7',6.633,6.67,6.678,6.564,1.4243776,1,b'J220417.6+023619',1097704501.0,7.392,6.85,6.684,2683284082351171584,144.63,31.933,8
b'2RXS J044418.5+032544',71.07718,3.42916,1.1195e-12,b'J044418.39+032548.7',8.47,8.52,8.519,8.286,4.2597947,1,b'',786409278.0,9.07,8.59,8.516,3281042959000152064,-17.611,-103.756,10
