_2RXS,RAJ2000,DEJ2000,SrcFlux,ALLWISE,W1mag,W2mag,W3mag,W4mag,SepW-2RXS,MatchFlag,_1RXS,_2MASS,Jmag,Hmag,Kmag,Gaia,pmRA,pmDE,__Gmag_
b'2RXS J060446.7-482730',91.19495,-48.45838,8.4963e-11,b'J060446.66-482730.6',4.817,4.566,4.73,4.725,1.2690703,1,b'J060446.6-482728',660427138.0,5.345,4.971,4.82,5554191680725392384,-103.224,-22.009,6
b'2RXS J032123.5-525115',50.34828,-52.85435,7.4012e-13,b'J032124.00-525117.0',6.705,6.704,6.736,6.762,4.0130424,1,b'J032123.6-525116',640775985.0,7.157,6.863,6.752,4734408524158203904,123.017,131.076,8
b'2RXS J012808.8-523824',22.03683,-52.64009,9.7186e-12,b'J012808.80-523819.6',6.783,6.809,6.757,6.667,4.6884656,1,b'J012808.8-523824',614656587.0,7.405,6.944,6.834,4916062035639628800,106.317,-43.086,8
b'2RXS J013232.8-493138',23.13679,-49.5273,1.0072e-11,b'J013233.08-493141.6',6.227,6.118,6.168,6.139,4.1913633,1,b'J013232.8-493138',647629459.0,6.577,6.288,6.181,4929395125953508352,151.621,-54.06,7
b'2RXS J044539.1-435353',71.41309,-43.89818,1.3577e-12,b'J044539.22-435349.5',6.508,6.502,6.494,6.388,4.032352,1,b'J044539.2-435354',640139661.0,7.092,6.648,6.538,4814461079558759424,139.705,21.264,8
b'2RXS J215004.9-383656',327.52056,-38.61559,1.2863e-12,b'J215005.12-383654.9',6.088,5.994,6.071,6.002,2.4774127,1,b'J215004.4-383657',634693884.0,6.41,6.165,6.098,6585158207436506112,138.867,-176.692,7
b'2RXS J135155.7-363727',207.98217,-36.62428,7.0628e-12,b'J135155.63-363725.4',6.82,6.806,6.829,6.622,2.1836603,1,b'J135155.7-363726',374527637.0,7.336,7.032,6.923,6115779511037701120,-121.835,-63.499,8
b'2RXS J023824.8-375923',39.60342,-37.98986,1.6053e-12,b'J023824.93-375926.5',5.165,5.008,5.216,5.158,3.3632684,1,b'J023824.9-375925',538013889.0,5.528,5.292,5.192,4953450413144797184,114.96,-62.395,6
b'2RXS J015522.6-384617',28.84445,-38.77163,3.4457e-12,b'J015522.90-384619.7',8.0,7.953,7.874,7.666,3.366927,1,b'J015522.7-384615',580021270.0,8.854,8.271,8.102,4961593293181299712,143.355,91.341,10
b'2RXS J020118.7-370458',30.32798,-37.08278,1.6052e-12,b'J020118.91-370453.6',7.978,8.011,7.917,7.73,4.917362,1,b'J020118.8-370457',737652401.0,8.428,8.062,7.949,4967812680703705088,193.808,-146.898,9
b'2RXS J133419.0-363127',203.57941,-36.52436,1.2904e-12,b'J133418.78-363125.3',6.835,6.934,6.902,6.836,4.0627527,1,b'J133419.0-363125',373995169.0,7.553,7.033,6.959,6164379780412419072,-193.168,3.622,8
b'2RXS J111501.9-331904',168.75826,-33.3178,6.6469e-12,b'J111502.27-331903.1',5.988,5.911,6.041,5.983,3.786665,1,b'J111502.0-331905',916450537.0,6.255,6.114,6.068,5402602150042113024,-142.932,55.06,6
