,sde
./TIC470901108_s18_custom_lc_tls.h5,7.664601720658876
./TIC468986279_s7_custom_lc_tls.h5,7.654213964388998
./TIC216728030_s12_custom_lc_tls.h5,7.646870876461686
./TIC350715996_s1_custom_lc_tls.h5,7.6223203489504945
./TIC193219091_s9_custom_lc_tls.h5,7.614560385981381
./TIC2018799170_s15_custom_lc_tls.h5,7.588304432195419
./TIC376804195_s10_custom_lc_tls.h5,7.569063449871665
./TIC405479191_s1_custom_lc_tls.h5,7.535825123334934
./TIC66397732_s2_custom_lc_tls.h5,7.529746230122181
./TIC417735733_s14_custom_lc_tls.h5,7.515416580275821
./TIC278024057_s1_custom_lc_tls.h5,7.513997714819151
./TIC114824306_s8_custom_lc_tls.h5,7.507388152574037
./TIC62480591_s8_custom_lc_tls.h5,7.502155723696405
./TIC192883696_s18_custom_lc_tls.h5,7.4947985075640275
./TIC427586730_s22_custom_lc_tls.h5,7.494669976316757
./TIC441808811_s14_custom_lc_tls.h5,7.4913133125092495
./TIC168848994_s4_custom_lc_tls.h5,7.487395695818707
./TIC301259166_s18_custom_lc_tls.h5,7.4832996997614165
./TIC150187916_s1_custom_lc_tls.h5,7.473630077537041
./TIC272785770_s14_custom_lc_tls.h5,7.471862889713177
./TIC273792220_s1_custom_lc_tls.h5,7.349408880148259
./TIC314952866_s17_custom_lc_tls.h5,7.328401435274249
./TIC112827315_s13_custom_lc_tls.h5,7.318188334510754
./TIC128212390_s11_custom_lc_tls.h5,7.271943370647491
./TIC439992618_s17_custom_lc_tls.h5,7.263891508372824
./TIC97914505_s13_custom_lc_tls.h5,7.23841608923924
./TIC990104082_s11_custom_lc_tls.h5,7.227591015895691
./TIC410251696_s8_custom_lc_tls.h5,7.217538447151237
./TIC30946742_s5_custom_lc_tls.h5,7.169334547409978
./TIC234508705_s1_custom_lc_tls.h5,7.1676203608845475
./TIC101185652_s9_custom_lc_tls.h5,7.15749735358469
./TIC389730842_s13_custom_lc_tls.h5,7.132331790077506
./TIC165941377_s3_custom_lc_tls.h5,7.117628427947478
./TIC275101326_s15_custom_lc_tls.h5,7.113240461323649
./TIC10056999_s22_custom_lc_tls.h5,7.106003851693142
./TIC68582244_s20_custom_lc_tls.h5,7.100255532036126
./TIC356687589_s9_custom_lc_tls.h5,7.095923371854166
./TIC93550171_s8_custom_lc_tls.h5,7.088194287356011
./TIC76978910_s12_custom_lc_tls.h5,7.087490811896458
./TIC180671254_s22_custom_lc_tls.h5,7.071516041731582
./TIC198536034_s14_custom_lc_tls.h5,7.068613921523476
./TIC119578910_s16_custom_lc_tls.h5,7.05627923999988
./TIC233159259_s14_custom_lc_tls.h5,7.047660479562178
./TIC114501073_s3_custom_lc_tls.h5,7.034757612111691
./TIC68660462_s20_custom_lc_tls.h5,7.032959830725791
./TIC53178075_s9_custom_lc_tls.h5,7.02570078479683
./TIC830993487_s8_custom_lc_tls.h5,6.9972140659825115
./TIC44222994_s16_custom_lc_tls.h5,6.962873992663591
./TIC383518546_s8_custom_lc_tls.h5,6.929513430579655
./TIC287297438_s21_custom_lc_tls.h5,6.916297987419466
./TIC26925532_s21_custom_lc_tls.h5,6.843264549819954
./TIC154381790_s15_custom_lc_tls.h5,6.834539858725143
./TIC410323847_s9_custom_lc_tls.h5,6.82754361366906
./TIC388437250_s18_custom_lc_tls.h5,6.819612149031692
./TIC260636730_s1_custom_lc_tls.h5,6.81899664018945
./TIC367656476_s14_custom_lc_tls.h5,6.809020566277992
./TIC301087756_s12_custom_lc_tls.h5,6.801716339215811
./TIC161685732_s15_custom_lc_tls.h5,6.775533222058931
./TIC49175300_s9_custom_lc_tls.h5,6.691089224157721
./TIC220016021_s2_custom_lc_tls.h5,6.64511279631315
./TIC620333840_s17_custom_lc_tls.h5,6.632752970373912
./TIC393898327_s25_custom_lc_tls.h5,6.594761208921304
./TIC324606430_s13_custom_lc_tls.h5,6.584499101361697
./TIC115104943_s23_custom_lc_tls.h5,6.573036669377057
./TIC408191403_s5_custom_lc_tls.h5,6.538703146029435
./TIC174440331_s17_custom_lc_tls.h5,6.5210140913658465
./TIC356380309_s19_custom_lc_tls.h5,6.512436491704907
./TIC158496710_s15_custom_lc_tls.h5,6.500375447678429
./TIC370743450_s9_custom_lc_tls.h5,6.49884535485171
./TIC170366621_s6_custom_lc_tls.h5,6.490914375271029
./TIC334832833_s14_custom_lc_tls.h5,6.455405094588059
./TIC1001198497_s15_custom_lc_tls.h5,6.443003287784407
./TIC238666031_s7_custom_lc_tls.h5,6.3653622867222515
./TIC1102002796_s16_custom_lc_tls.h5,6.321619285452959
./TIC21720503_s25_custom_lc_tls.h5,6.310088133284034
./TIC358287572_s2_custom_lc_tls.h5,6.305950007174793
./TIC387018021_s19_custom_lc_tls.h5,6.282378965786157
./TIC42991745_s6_custom_lc_tls.h5,6.2801363997846416
./TIC267802440_s17_custom_lc_tls.h5,6.226368551372033
./TIC378587203_s17_custom_lc_tls.h5,6.218085416827667
./TIC425934574_s1_custom_lc_tls.h5,6.21690439179103
./TIC9358795_s5_custom_lc_tls.h5,6.209052349190631
./TIC8198488_s21_custom_lc_tls.h5,6.1895856690801185
./TIC176852917_s4_custom_lc_tls.h5,6.168598636633034
./TIC312552945_s17_custom_lc_tls.h5,6.163423506838791
./TIC288344202_s14_custom_lc_tls.h5,6.1628882005840575
./TIC233904049_s14_custom_lc_tls.h5,6.140588069553859
./TIC875958223_s8_custom_lc_tls.h5,6.138630374999605
./TIC159613900_s14_custom_lc_tls.h5,6.124256588741288
./TIC53255031_s19_custom_lc_tls.h5,6.093604961785927
./TIC431107890_s16_custom_lc_tls.h5,6.079126441858282
./TIC157645047_s14_custom_lc_tls.h5,6.078851541529389
./TIC1718037040_s14_custom_lc_tls.h5,6.067572085633324
./TIC339885174_s3_custom_lc_tls.h5,6.052747219760733
./TIC189621047_s8_custom_lc_tls.h5,6.035463912067752
./TIC141602778_s19_custom_lc_tls.h5,5.986302839773211
./TIC147622676_s9_custom_lc_tls.h5,5.98427897193792
./TIC1235438764_s12_custom_lc_tls.h5,5.960336957047178
./TIC94908697_s14_custom_lc_tls.h5,5.959563973418912
./TIC387020247_s19_custom_lc_tls.h5,5.947686147123172
./TIC59625037_s6_custom_lc_tls.h5,5.9302953817458235
./TIC397155236_s19_custom_lc_tls.h5,5.892446018592908
./TIC824977257_s7_custom_lc_tls.h5,5.8916393925678525
./TIC20072435_s5_custom_lc_tls.h5,5.798035120187177
./TIC237100139_s14_custom_lc_tls.h5,5.78872638522533
./TIC237116051_s14_custom_lc_tls.h5,5.78859969204579
./TIC365700014_s15_custom_lc_tls.h5,5.783334481448922
./TIC169197926_s7_custom_lc_tls.h5,5.780290331021037
./TIC68053877_s12_custom_lc_tls.h5,5.77044903873451
./TIC287757944_s6_custom_lc_tls.h5,5.750515566272644
./TIC93242369_s6_custom_lc_tls.h5,5.721211737943812
./TIC382603553_s1_custom_lc_tls.h5,5.717524286341286
./TIC249694129_s16_custom_lc_tls.h5,5.686158137765834
./TIC58016716_s17_custom_lc_tls.h5,5.683745325528443
./TIC219779130_s14_custom_lc_tls.h5,5.653626977387889
./TIC48354645_s14_custom_lc_tls.h5,5.651701120862999
./TIC400524722_s8_custom_lc_tls.h5,5.5832721902920115
./TIC337438473_s13_custom_lc_tls.h5,5.579352808215326
./TIC230385278_s14_custom_lc_tls.h5,5.56348937420829
./TIC713459599_s6_custom_lc_tls.h5,5.557651308475562
./TIC293218979_s1_custom_lc_tls.h5,5.543731075214037
./TIC279425713_s1_custom_lc_tls.h5,5.5403685871400565
./TIC408908804_s6_custom_lc_tls.h5,5.536494857913954
./TIC183645152_s1_custom_lc_tls.h5,5.527037286973271
./TIC173924720_s16_custom_lc_tls.h5,5.492748684113717
./TIC323688877_s8_custom_lc_tls.h5,5.47985160610113
./TIC843283158_s10_custom_lc_tls.h5,5.479740843208002
./TIC392569730_s14_custom_lc_tls.h5,5.449436722680371
./TIC99381773_s15_custom_lc_tls.h5,5.440440957479104
./TIC427346731_s6_custom_lc_tls.h5,5.4386402480961475
./TIC336431824_s12_custom_lc_tls.h5,5.428496596913125
./TIC358069227_s1_custom_lc_tls.h5,5.384927359137259
./TIC93168130_s6_custom_lc_tls.h5,5.372146448369479
./TIC118301927_s18_custom_lc_tls.h5,5.361147881595888
./TIC307757011_s20_custom_lc_tls.h5,5.356476383265235
./TIC900469531_s21_custom_lc_tls.h5,5.35301883496378
./TIC152331859_s12_custom_lc_tls.h5,5.339611559565977
./TIC179441174_s1_custom_lc_tls.h5,5.337666472283502
./TIC26489751_s14_custom_lc_tls.h5,5.33521516750546
./TIC152484504_s10_custom_lc_tls.h5,5.329493881770972
./TIC2028599052_s1_custom_lc_tls.h5,5.3228857234529645
./TIC345750739_s6_custom_lc_tls.h5,5.3133756041799325
./TIC181150051_s10_custom_lc_tls.h5,5.309170426581887
./TIC811342167_s8_custom_lc_tls.h5,5.307266234098264
./TIC457388527_s11_custom_lc_tls.h5,5.303057744858017
./TIC314969843_s8_custom_lc_tls.h5,5.294499583193365
./TIC24451239_s5_custom_lc_tls.h5,5.293485064760895
./TIC173532798_s7_custom_lc_tls.h5,5.258344348183948
./TIC22953654_s23_custom_lc_tls.h5,5.239308962116542
./TIC77371445_s4_custom_lc_tls.h5,5.199632041179653
