,gls_power
rosat_sc/TIC154271808_s16_pdcsap_sc_tls.h5,"(0.6875725234545154, 0.037206587090082774)"
rosat_sc/TIC167524563_s1_pdcsap_sc_tls.h5,"(0.6816266033511916, 0.03363100765819902)"
rosat_sc/TIC288312840_s14_pdcsap_sc_tls.h5,"(0.670262627865144, 0.03451875053673933)"
rosat_sc/TIC1001198497_s15_pdcsap_sc_tls.h5,"(0.6645873944504184, 0.03683094071062629)"
rosat_sc/TIC304437284_s12_pdcsap_sc_tls.h5,"(0.6640285454788355, 0.03480927226783187)"
rosat_sc/TIC332860629_s6_pdcsap_sc_tls.h5,"(0.6603592994971917, 0.03862608764537368)"
rosat_sc/TIC337393383_s12_pdcsap_sc_tls.h5,"(0.6581856185603153, 0.03495383812552677)"
rosat_sc/TIC54415299_s9_pdcsap_sc_tls.h5,"(0.6463230781632885, 0.037799792699664284)"
rosat_sc/TIC224278523_s2_pdcsap_sc_tls.h5,"(0.6419338019520135, 0.03168488214101192)"
rosat_sc/TIC288344202_s14_pdcsap_sc_tls.h5,"(0.6391030844530875, 0.03163610271383387)"
rosat_sc/TIC97914505_s13_pdcsap_sc_tls.h5,"(0.6366328886503827, 0.036889552585212905)"
rosat_sc/TIC339885174_s3_pdcsap_sc_tls.h5,"(0.6342139910712329, 0.03851395037755119)"
rosat_sc/TIC418348129_s19_pdcsap_sc_tls.h5,"(0.6340239605040909, 0.03428436490581915)"
rosat_sc/TIC164644375_s14_pdcsap_sc_tls.h5,"(0.6314648042754769, 0.031074500216150717)"
rosat_sc/TIC734782242_s4_pdcsap_sc_tls.h5,"(0.6284260283818531, 0.03539538252843918)"
rosat_sc/TIC875958223_s8_pdcsap_sc_tls.h5,"(0.6227664172151166, 0.033046911486773155)"
rosat_sc/TIC147622676_s9_pdcsap_sc_tls.h5,"(0.6223461467920743, 0.033100377151358246)"
rosat_sc/TIC262874982_s1_pdcsap_sc_tls.h5,"(0.6114370679537892, 0.03133275818938552)"
rosat_sc/TIC313026885_s14_pdcsap_sc_tls.h5,"(0.6042332720182473, 0.03313634555916766)"
rosat_sc/TIC179051609_s12_pdcsap_sc_tls.h5,"(0.5978393876272579, 0.031331906241760216)"
rosat_sc/TIC267802440_s17_pdcsap_sc_tls.h5,"(0.595681349283437, 0.03681746320791324)"
rosat_sc/TIC376804195_s10_pdcsap_sc_tls.h5,"(0.5952621234404764, 0.03180299726368357)"
rosat_sc/TIC462146834_s12_pdcsap_sc_tls.h5,"(0.5907273607586494, 0.03507262873833298)"
rosat_sc/TIC420116962_s16_pdcsap_sc_tls.h5,"(0.5841643427707512, 0.03632892163976704)"
rosat_sc/TIC124401019_s10_pdcsap_sc_tls.h5,"(0.5716317927297844, 0.03054904995359118)"
rosat_sc/TIC258095326_s12_pdcsap_sc_tls.h5,"(0.5671327305269994, 0.0284116037661918)"
rosat_sc/TIC238815210_s1_pdcsap_sc_tls.h5,"(0.5521075537755327, 0.02944287130173969)"
rosat_sc/TIC26925532_s21_pdcsap_sc_tls.h5,"(0.5492130974096315, 0.028631322416137046)"
rosat_sc/TIC393388476_s6_pdcsap_sc_tls.h5,"(0.5344597964126365, 0.02936240260418954)"
rosat_sc/TIC93550171_s8_pdcsap_sc_tls.h5,"(0.5266603155111176, 0.029464850451191946)"
rosat_sc/TIC245863570_s5_pdcsap_sc_tls.h5,"(0.5233755833025154, 0.028515732743720133)"
rosat_sc/TIC24451239_s5_pdcsap_sc_tls.h5,"(0.5078658554274443, 0.02673307250511234)"
rosat_sc/TIC62480591_s8_pdcsap_sc_tls.h5,"(0.49188871582366744, 0.02708408482818854)"
rosat_sc/TIC114824306_s8_pdcsap_sc_tls.h5,"(0.49055595885289544, 0.03366932653801904)"
rosat_sc/TIC154208374_s16_pdcsap_sc_tls.h5,"(0.4888826187193823, 0.035060691089001346)"
rosat_sc/TIC8916237_s21_pdcsap_sc_tls.h5,"(0.4882029550492089, 0.023643076488178278)"
rosat_sc/TIC154381790_s15_pdcsap_sc_tls.h5,"(0.48656358933735083, 0.030271335340560947)"
rosat_sc/TIC53178075_s9_pdcsap_sc_tls.h5,"(0.4797295271164223, 0.029685626536670166)"
